StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation
MA,Springfield,2567000,153060,15.9,27.5,16.3,31.7,75.8,5.5,12.7,7.4,78.5,71.3,59.6,8.2,27,25.2,23.5,58.7,13.3,36,3.5,34.5,83.3,17.1,36.2,84.3,16.5,38.9,4,26,"(42.11549779990, -72.5395254143)"
CA,Bakersfield,603526,347483,16.4,19.1,18.8,25.4,67.2,5,9.5,5.4,61.7,70.7,62,6.1,32.5,27.7,17.2,60.9,9.9,31.5,2.9,24,80.2,14,29.3,83,13.1,37.2,2.9,15.2,"(35.35133028550, -119.029786003)"
LA,Lake Charles,2241155,71993,17,27.5,16.8,41.5,81.9,6.2,9.7,7.7,75.5,72.8,59.3,8.4,25.6,27.9,23.2,53.8,14,39.2,3.6,31.7,79.8,14.4,39.1,83.6,14.8,41.3,4.6,21.6,"(30.20306799660, -93.2148796496)"
IL,Schaumburg,1768003,74227,8.5,19.9,23.5,26.5,73.3,6.2,8.2,4.6,69.2,79.9,64.7,4.6,39.6,31.8,13.7,71.2,7.3,33.9,2.3,18.7,76.5,9.4,23.7,84.1,9,31.7,2.1,8.7,"(42.03054887550, -88.0838663543)"
TN,Clarksville,4715160,132929,15.5,23.6,16.6,31.3,73,4.6,10.5,5,70.3,72.7,62.4,6.9,36,31.4,22.9,59.9,9.3,32.4,2.4,26.2,78.5,15.1,36.5,83.1,13.3,41.7,2.6,17.3,"(36.56968315900, -87.3432371614)"
FL,Miami,1245000,399457,36.2,19.7,14.8,32.5,78.4,5.3,7.4,7.6,75.3,72.6,47.4,7.1,20.5,18.2,16.6,53.3,14.6,38.3,4.1,42.2,83,13.1,29.5,82,15.5,34.8,4.2,19.4,"(25.78229589700, -80.2215647762)"
WI,Green Bay,5531000,104057,13.6,24.1,25.5,29.9,72.2,6,9.5,6.3,69.3,72,65.3,6.6,29.2,26.5,20.6,67.4,9.6,34.8,2.8,23.5,78.5,13.3,34,83.7,12.7,35.9,3.1,16.3,"(44.51498478160, -87.9896195955)"
SD,Sioux Falls,4659020,153888,11.3,21.8,20,25.9,74.9,6.2,7.9,5.6,68.8,70.9,66.2,5.3,44.4,42.2,19,71.5,7.7,30.4,2.4,18.6,82.2,10.4,31.5,82.9,9.9,27.2,2.6,12.7,"(43.53880675370, -96.7313495858)"
CO,Greeley,832155,92889,17.4,20,18.7,24.4,68,5.3,9.3,5.1,56.7,66.6,58.4,5.2,35.8,31.2,18.2,56.7,7.4,34.3,2.6,19,70.7,12.9,26.2,79,11.6,29.1,2.7,14,"(40.41413695210, -104.771170982)"
CA,Visalia,682954,124442,15.1,20,18.3,27.9,68.8,5.5,9.2,5.8,64.3,71.7,64.3,6.3,36.5,28.4,16.1,60.9,10.4,34,3,23.1,77.8,13.1,33.4,85,13.1,32.8,3,14.5,"(36.32706231570, -119.325273214)"
TX,Arlington,4804000,365438,22.1,19.9,17.1,28.7,72.7,5.1,9.4,5.1,68.3,70.4,61,5.6,40.1,32.7,18.7,57.4,10.6,34.7,2.6,28.1,78.3,12.5,31.9,80.1,11.8,36.9,2.6,13.4,"(32.69983686200, -97.1250896120)"
IA,Davenport,1919000,99685,8.9,24.7,21.5,29.2,77.1,6.4,8.6,6.2,70.7,71.4,63.9,6,41,33.7,19.7,67.9,10,36.7,2.7,24.2,79.8,11.9,32.6,83.5,11,30.3,3.1,14.8,"(41.55579268760, -90.6051730163)"
TX,Round Rock,4863500,99887,18.1,17.2,21.8,26.2,68.4,4.6,8.5,3.8,67.3,73.7,64.4,4.2,34.3,33.5,16.1,66.3,7.8,31.8,2.1,21.5,77.1,11,33.2,84.6,9.7,34.3,1.9,9.7,"(30.52395782350, -97.6669801882)"
CA,Sunnyvale,677000,140081,7.8,14,15.1,21.1,67.3,5.2,7,3.7,64.6,78.6,73.4,3.2,39,37,9,74.9,7.3,28.6,2,16.6,80.3,8.2,17.3,82.2,7.6,31.1,1.7,6.2,"(37.38344165660, -122.025624324)"
CA,Upland,681344,73732,12,19.8,17.6,29.1,69.7,5.7,9,5.3,66.4,76.6,66.6,5.4,31.6,32.3,13.5,65.6,9.5,35,2.8,19.5,82.1,11.9,25.1,83.6,11.6,36.6,2.7,11.5,"(34.11784457010, -117.660290062)"
NY,Syracuse,3673000,145170,13.8,26.1,18.4,28.8,73.3,5.2,12.8,6.4,72.7,68.4,60.3,8.5,33.5,29.5,23.9,55,12,33.5,3.2,30.4,79.9,15.9,35.8,82.2,14.8,39.7,3.8,23.9,"(43.04092020970, -76.1437679213)"
FL,Tampa,1271000,335709,23.1,22.3,17.9,30.6,73.6,5.6,8.4,6.1,73.6,73.7,58,6.9,30.1,28.3,19.4,55.5,11.9,33.8,3.1,30.2,79.3,13.9,28.5,81.9,13.8,35.6,3.5,19.4,"(27.99619804100, -82.4450349799)"
CA,San Mateo,668252,97207,9.8,18.3,16.6,26.6,71.1,6.2,7.9,4.8,65.1,78.5,70.1,4.4,37.6,36,11.4,73.2,8.5,30.5,2.5,17.1,80.7,9.8,22.8,82.9,9.4,31.5,2.3,8.1,"(37.55182268930, -122.312390346)"
TX,Lewisville,4842508,95290,20.3,17.8,20,25,69.7,4.5,8.5,4,66.3,70.4,61.3,4.6,33.5,30.9,17.8,62.8,8,31.6,2.2,22.4,74.2,11.8,32.1,82.5,10.1,32.1,2.1,12.4,"(33.04519924290, -96.9829273031)"
FL,Pompano Beach,1258050,99845,25.4,25.9,15.6,36.7,77.5,7.4,8.3,8.2,77.4,76.9,59.2,8.7,32.5,27.4,19.5,56.5,13.1,40.3,3.6,32.1,81.6,14.1,29.4,80.6,15.3,38.1,4.5,17.5,"(26.24283356990, -80.1312451610)"
NM,Santa Fe,3570500,67947,10.8,26.6,14.7,27,75.7,6.8,9.3,6.1,64.2,75.7,61.4,5.4,30.7,27.5,13.4,68.7,10,32.8,3.1,16.3,71.1,11,18.8,82.5,12.4,27.1,2.9,10.3,"(35.66627196010, -105.972662995)"
CA,San Ramon,668378,72148,5.2,15,16.5,21.2,67.3,5.2,7.2,3.3,64.5,82.3,74.9,3.1,39.9,40.5,9.1,81.3,6.6,29.9,1.8,13,80,8.2,20.4,83.8,7.1,31.9,1.5,4.9,"(37.76237054620, -121.938150371)"
CA,Stockton,675000,291707,17.5,20.6,15.6,30.6,69.8,4.9,9.5,6.1,62.7,68.2,61.6,6.5,31.4,27,16.3,56.1,11.9,35.1,3.3,27.8,80.9,14.4,30.5,82.8,14.4,37.6,3.4,17.8,"(37.97663226790, -121.311121669)"
MI,Livonia,2649000,96942,7.6,30.6,22.4,32.3,77.7,8.6,9.7,6.9,72.9,83,71.5,7.4,37.7,36.1,17.1,78.3,8.4,38.6,2.8,18.8,79.7,11.3,28,84.3,11.5,35.6,2.9,8.7,"(42.39715927370, -83.3733073683)"
CA,San Diego,666000,1307402,11.3,16.1,20.7,24.1,67.7,5,8,4.4,64,72.7,69.5,4.3,29.6,33.2,12.6,69.1,8.2,30.9,2.4,17.4,81.2,11.6,19.8,85.3,9.8,33.3,2.3,8.9,"(32.83556394180, -117.119792061)"
NV,Las Vegas,3240000,583756,19.3,23.1,16.1,27.4,71.9,5.8,8.7,6.7,68.6,71.4,56.6,7.3,33.2,27.3,19.5,58.1,11.7,35.1,3.1,26.3,73.7,14.7,27.3,79.8,14.4,40.6,3.2,15.5,"(36.22741484380, -115.262670095)"
IN,Carmel,1810342,79191,6,22.8,18.5,28.9,75,6.5,8.7,4.8,69.3,82.4,71.3,4.3,45.6,35.8,11.9,81.8,7.7,34.8,2.1,15.5,77.3,8.6,24.9,83.3,8,29.8,2,7.2,"(39.96584046130, -86.1461278461)"
NC,Greensboro,3728000,269666,17.6,22.7,16,33.2,74.7,5.5,9.1,5.6,74.1,75.4,69,6.1,40.6,37.7,19.6,58,10.5,35,2.9,22.9,81.6,13.2,35.5,85.8,11.4,35.6,3.4,16,"(36.09604804150, -79.8276833061)"
FL,Miramar,1245975,122041,23,16.8,17.8,28.6,72,4.4,7.8,4.2,77.2,77.7,60.3,4.7,29.4,27.4,14.9,63.5,10.3,31.9,2.5,26.1,84.6,11.9,29,83.3,10.9,39.9,2.5,12.6,"(25.97732882330, -80.3357316003)"
OR,Eugene,4123850,156185,10.6,23.3,18.8,24,70.3,6.3,10.3,5.6,62,66.8,64.4,6.2,30.4,32.4,16.9,70.7,7.8,34.1,2.7,16.3,77.7,13.5,25.6,82.1,11.5,29.9,2.8,12.5,"(44.05593633460, -123.117327584)"
OR,Hillsboro,4134100,91611,12.6,19.4,20.3,22.6,66.1,5.1,9.7,4.3,60.5,69.9,65.1,4.8,33,31.9,16,67.2,6.8,31.6,2.2,15.1,75.4,12.3,29.2,81.9,10.2,32.1,2.2,12.2,"(45.52902799400, -122.937442209)"
CA,Modesto,648354,201165,14.3,21.8,17.3,30.8,69,6,9.5,6.3,64.5,71.5,65.1,6.7,33,29.6,16,61,10.8,35.3,3.1,25,78.6,13.8,31.3,84.8,13.6,36.1,3.2,15.2,"(37.66154782210, -120.988548061)"
CA,Concord,616000,122067,11.6,19.6,16.5,26.2,69.1,5.9,8.6,5.1,63.3,75.1,70.2,5.2,36.1,35.2,14.1,70.7,9,33.5,2.6,19.6,78.4,11.7,27.3,83.3,11.2,33.3,2.5,10,"(37.97218103070, -122.001588036)"
AZ,Tucson,477000,520116,18,23.8,15.6,26.8,71.4,5.7,10.8,6.2,65.8,68.4,60.8,6.7,35,29.6,18.8,59.6,10,36.6,3.3,25.5,79,14.1,29,NA,14.4,34.2,3.2,13.4,"(32.15672444830, -110.877085494)"
CA,Norwalk,652526,105549,18.9,16.7,16.8,26,67.3,4.5,7.9,4.8,64.6,72.1,59.2,4.8,25,31,13,58.7,10.6,33,2.8,23.1,78.5,12.3,25.8,84.2,12.5,36.9,2.6,11.1,"(33.90688082280, -118.082915204)"
MI,Kalamazoo,2642160,74262,13.3,24.7,20.6,26.4,71.2,5,11.9,5.4,68.8,63.4,66.1,7.5,31.3,31.6,20.5,61.2,9,31.8,2.8,23.1,80.9,16,37.4,84.4,13.4,38.3,3,16.8,"(42.27487564740, -85.5881885760)"
IL,Rockford,1765000,152871,15.5,28.7,16.6,34.9,77.6,6.7,10.4,7.4,68.3,72.5,58.2,8.2,32.1,26.7,22.8,56.3,11.9,39,3.4,30.3,72.4,13.8,36.3,82.5,15.2,38.8,4,18.6,"(42.26331800150, -89.0625958362)"
SC,Rock Hill,4561405,66154,17.2,25.7,18.1,34.2,74.4,5.6,9.9,5.7,67.7,73.2,64.2,6.8,42.6,30.3,20.7,57.3,10.9,33.5,2.9,30.1,79.4,15,34.1,83.5,13.4,40.8,3.3,16.7,"(34.94036114960, -81.0249178286)"
IA,Sioux City,1973335,82684,11.5,23.8,19.4,29.2,76.6,6.3,8.7,6.5,68.7,68.5,61.2,6.5,40.1,33.1,19.6,64.2,10,38.3,2.9,26.4,76.5,12.6,36.2,81.5,12.2,28.9,3.3,16.1,"(42.49631490390, -96.3913834837)"
IL,Champaign,1712385,81055,11.3,16.4,21.5,22.5,66.9,4.1,9.6,3.7,62.7,62.1,63.5,4.7,35.5,33.3,17,61.2,6.5,30.7,2.1,22,77.9,13,29,80.8,9.6,30.4,1.9,12.3,"(40.11510513610, -88.2729845986)"
AZ,Gilbert,427400,208453,9,19,20.3,22.1,67,5,9.3,3.7,64.8,77.9,67,4.1,39.1,36.6,14.7,73.6,6.3,30.9,2.1,16.3,80.4,10.9,24.5,NA,9.1,34.8,1.8,7.6,"(33.31014939200, -111.746237467)"
KS,Wichita,2079000,382368,18,24.1,14.8,31.8,74.9,6.2,9.7,6.5,64.9,69.6,61,6.6,28.5,31.3,22.3,62.8,10.3,39.3,2.9,26.9,75.2,12.2,31.3,81.9,11.8,35.5,3.2,17.7,"(37.69056147800, -97.3429366807)"
CA,Chino Hills,613214,74799,8.5,15.3,17.6,24.7,67.4,4.5,7.8,3.6,66.2,79.6,66.1,3.6,31.1,34.3,10.6,71.9,8.1,32.3,2.1,16,82.5,9.7,20.2,81.8,8.7,36.9,1.8,7.7,"(33.95077454600, -117.725326968)"
CA,Moreno Valley,649270,193365,18,17.9,18,28.1,65.5,4.1,9.3,4.8,64.1,67.6,63.1,5.3,26.8,28.5,16.5,57.2,10.2,31.9,2.8,25.6,81.5,13.8,31.2,84.3,13.1,41.1,2.7,15.6,"(33.92443141120, -117.204501895)"
CA,San Marcos,668196,83781,12.6,17.2,20.9,24.8,67.3,5.3,8.4,4.7,63.6,72.4,69,5,28.7,32,13.6,68.2,8.2,31.8,2.5,18.4,80.4,12.3,21,85.8,10.8,33.3,2.5,10.8,"(33.13496598600, -117.174363098)"
TX,Garland,4829000,226876,26.1,21.6,16.5,31.7,73.9,5.2,9.1,5.9,68.9,69.6,58,6.2,31.4,28,18.3,57,11.3,38,2.9,29.4,73.3,12.9,32.7,78.9,12.7,34.2,3.1,15.6,"(32.91007998670, -96.6304258603)"
FL,Hialeah,1230000,224669,42.9,21.1,13.3,33.9,79.6,5.6,7,8.6,75.1,72.9,45.3,7.3,19.4,17.4,15.4,50.9,16.5,41.6,4.6,46.8,82,13,30.2,81,17,33.9,4.2,18.5,"(25.86962694800, -80.3045294666)"
TX,Baytown,4806128,71802,27.2,21.3,16.9,31.3,74.2,5.5,9,6.3,67.7,69.3,57.7,6.4,28.6,29.1,17.5,55.4,11.7,38.9,3,29.4,75.4,13.4,32.5,80.9,13.5,35.2,3.1,17.7,"(29.75711530430, -94.9676276217)"
MO,Independence,2935000,116830,16,29,19.1,34.5,78.4,7.3,10.2,7.7,70.8,74,66,9.3,36.7,36.3,24.5,59.5,11.2,42.8,3.1,25.2,76.4,14.8,31.2,78.3,15.4,36.3,3.8,18.3,"(39.08707947710, -94.3502748237)"
AL,Montgomery,151000,205764,17.9,29.4,15.1,40.3,78.9,5.9,10.4,6.8,76.5,75.9,64.9,8.2,33.6,31,21,60.6,13.7,37.4,3.3,29.8,82.4,14.5,36.4,85.5,14.5,38,4.2,18.1,"(32.34726453330, -86.2677059552)"
WA,Kennewick,5335275,73917,14.5,25.8,17.8,29.4,68,6.1,10.6,6.2,59.7,67.6,63.2,7.1,29.8,29.7,18.3,63.2,10.1,39.7,3,20.2,74.3,13.6,34.6,NA,13.6,33.7,3.1,16,"(46.19843842800, -119.173245847)"
CA,Thousand Oaks,678582,126683,7.3,20.3,18.3,27.4,73,7.1,8.1,5.2,66.9,81.8,75.3,4.9,38.3,38.2,11,75.7,8.1,33.3,2.5,16,80.6,9.8,21.9,86,9.7,31.8,2.4,7.4,"(34.19177456550, -118.874888411)"
AZ,Chandler,412000,236123,11,20.3,18.6,24,68.9,5.3,9.4,4.2,65.4,76.9,65.4,4.6,37.6,34.5,14.8,70.7,7.3,32.5,2.4,18.4,80,11.2,25.3,NA,10,35.2,2.1,9.4,"(33.28318981000, -111.852210033)"
CO,Centennial,812815,100377,7,22.5,18.9,25.7,71.4,6.6,8,4.4,61.3,81.7,68.1,4.1,42.7,40.7,12.7,77.7,5.8,31.9,2.2,12.4,74.7,8.9,19.9,83.2,8.1,26.7,2.1,6.8,"(39.59287207300, -104.867986891)"
FL,Davie,1216475,91992,20,19.4,19,27,73,5.8,7.3,5.3,74.7,78,61.5,5.8,34.4,30.3,15.3,66.2,9.2,35.2,2.5,24.8,82.3,12.1,24.7,80.9,11.4,35.3,2.6,12,"(26.07893407780, -80.2869750311)"
WA,Seattle,5363000,608660,8.1,18.6,18.8,23.4,64.8,5.5,8.9,4.2,60.5,72.6,69,4,41.9,36.5,10.8,73.2,7.1,31.3,2.3,13,78.9,10,22.7,NA,8.6,29.4,2.1,7.5,"(47.62215433800, -122.323532482)"
MN,Plymouth,2751730,70576,5.6,18.4,24,23.6,75.7,6.4,7.4,4.3,70,80.3,73.1,3.4,42.5,43.6,12.3,80.6,6.1,31.3,2.2,13,81.5,7.9,21.4,84.9,7.2,26.8,2,6,"(45.02246287400, -93.4616016242)"
NM,Rio Rancho,3563460,87521,9.4,24.3,16.8,25.7,72.1,5.8,9.7,5.1,57.2,74.2,58.3,5.3,34.9,25,16,67,8.8,31.4,2.6,16.1,71.6,11.8,25.4,83.4,12.1,31.6,2.6,12.6,"(35.28730793500, -106.697981552)"
PA,Reading,4263624,88082,25.1,28.2,15.6,33.8,74.4,4.9,11.7,7.7,66.9,62.5,51.1,9,27.6,24.3,24.2,46.2,14.8,37.2,3.9,38.6,75.9,18.3,41.2,79.5,18.7,45.3,4.4,31.6,"(40.33996786860, -75.9266128837)"
AZ,Mesa,446000,439041,14.6,25.7,16.6,29.4,73.4,6.7,10.1,6.4,66.5,74.7,63.8,6.6,35.8,31.6,17.4,64.1,9.6,37.1,3.2,23.4,78.7,12.9,28,NA,13,35.5,3.2,13.2,"(33.40228373590, -111.718721181)"
FL,Deltona,1217200,85182,23.9,25.6,16.8,32.5,76.8,6.5,8.3,7.4,74.4,76.5,59.9,8.7,26.4,33.6,21,55.6,12.2,38.2,3.3,34.3,80.1,14.4,33.6,79.5,15.3,38.1,3.5,17.7,"(28.90506004800, -81.2134269839)"
OR,Portland,4159000,583776,9.9,19.6,20,24.4,69.9,5.8,9.5,4.9,60.4,71.4,67.6,5.1,35.7,28.6,16.6,70.7,7.7,33.1,2.5,14.3,75.2,12.1,22.8,82.7,10.1,30.8,2.5,12.6,"(45.53718065400, -122.650032751)"
IL,Springfield,1772000,116250,10.6,27.2,19.2,33.2,77.1,7,9.9,6.7,69.5,75.6,63.9,7.3,34.5,29.8,20.3,60.8,10.4,37.8,3.1,25.4,77.5,12.4,35.6,84.3,13.2,34.2,3.4,15.3,"(39.77164733220, -89.6540780049)"
KY,Louisville,2148006,597337,8.3,28.5,18.1,39.7,78.3,6.7,12.3,8.1,75.8,73.9,66.8,9.4,43.1,36.4,23.2,62.8,11.5,37.8,3.2,26.3,82.2,14.3,34.2,86.2,14.3,37.9,3.7,18.5,"(38.17776899180, -85.6664099974)"
AR,Little Rock,541000,193524,11.9,26,15.4,37.2,77.9,6.1,9.3,6.2,73.5,75.1,70.4,6.7,42.6,31.4,19.9,65.9,11.4,37,3,28.9,78.4,14.2,34.2,NA,13.9,36.5,3.4,15.3,"(34.72539578940, -92.3583751863)"
IN,South Bend,1871000,101168,16.6,28.4,17,36.2,76.5,6.1,11.5,7.6,67.8,69.7,58.2,8.8,32.7,26.2,25,55.1,13.2,37.9,3.5,32.4,76.5,15.1,38.6,79.1,15.7,40.4,4.2,23.4,"(41.67699145490, -86.2690372417)"
ME,Portland,2360545,66194,11.6,25.8,19.5,27.5,72.1,6.3,11.4,5.6,69.7,76.2,73,6,43.1,34.7,16.5,66.3,7.9,35,2.4,17.7,78.1,12.9,26.3,83,10.7,31.5,2.7,11.9,"(43.67798362710, -70.2752544531)"
CT,Hartford,937000,124775,18.8,23.4,14.6,34.8,72.1,4.4,12.5,6.1,74.2,68.6,59.3,7,24.9,24,20.6,60.6,14,35.8,3.4,35.1,84.5,15.7,35.7,NA,15.4,40.9,3.8,20.3,"(41.76607064190, -72.6834012389)"
NC,Charlotte,3712000,731424,17.2,17.8,17.6,30.5,72.8,5,8.6,4.8,74.1,76.5,65.8,5.2,37.3,34.8,17.1,66.2,9.1,32.2,2.6,19.1,81.9,11.9,29.1,87,10.3,33.4,2.8,15.1,"(35.20787219690, -80.8300754645)"
DE,Wilmington,1077580,70851,17.1,24.3,15.1,37.6,76.9,5.6,10.7,6.4,77.1,72.5,59.5,7.5,31.9,30.7,23.8,52.7,13.9,35.2,3.5,32.9,82.6,14.5,36.4,83.7,14.2,43.1,4.3,21.6,"(39.74127482270, -75.5418960925)"
FL,Plantation,1257425,84955,17.5,20.7,18.3,29.4,75.3,6.5,7.4,5.5,76.9,81,64.8,5.8,35.3,31.3,14.2,68.6,9.6,35.5,2.6,23.5,83,11.3,24.9,82.1,11,35.4,2.8,11,"(26.12598539230, -80.2616762465)"
CA,Redding,659920,89861,8.8,24.3,17.7,30.6,73.1,7.4,9.6,7,65.1,74.9,66.8,7.5,35.4,29.6,17,59.9,9.9,35.6,3.2,20.7,76.5,13.4,25.4,82.8,13.3,31.6,3.5,14,"(40.56975912710, -122.365026322)"
TX,Abilene,4801000,117063,22.6,23.6,17.9,30.3,75,5.8,9.3,6.2,66.5,68.1,58,6.5,33.1,31.4,20.8,53.1,10.7,36.8,2.9,27.9,76.1,13.3,34.2,80.5,13,33.2,3.2,15.7,"(32.45465108980, -99.7383043723)"
MI,Flint,2629000,102434,17.7,34.5,15.2,41,76.2,5.8,13.7,8.9,75.1,69.3,57.4,11.7,22.9,20,29.7,50.8,16.6,40.5,4.4,35.3,83.4,18.4,45,84.1,19.9,48.7,5.7,25.4,"(43.02363393860, -83.6920640313)"
AZ,Avondale,404720,76238,19.3,19.2,17.7,24.8,65.9,4.1,10,4.4,63.2,68.7,58,5.1,30.4,27.5,18,59.9,8.9,32.7,2.7,24.7,79.8,13.6,29.9,NA,12.4,38.1,2.4,14.7,"(33.38583674050, -112.323626619)"
CA,Hayward,633000,144186,14.3,17.2,18,25.6,69.1,4.8,8.8,4.7,64.9,71.7,66.3,4.7,31.5,31.1,14.6,61.9,9.7,30.5,2.6,21,78.2,11.8,22.7,81.2,11.1,36.7,2.4,11.6,"(37.63295915510, -122.077051051)"
TX,Fort Worth,4827000,741206,24.8,20.3,17.2,29.5,73.1,4.9,9.6,5.4,67.7,69.1,58.4,5.9,36.8,29.5,19.5,54.9,11.6,34.7,2.8,30.1,78.5,13,33.4,80.5,12.7,37.2,3,17.2,"(32.78019280400, -97.3470323225)"
CA,Glendale,630000,191719,9.7,20.8,16.6,28.3,71.7,6.5,8.4,5.7,67.3,78.6,66.1,6,31.4,36.6,13.3,66.4,9.5,34.8,2.9,18.6,78.3,11.7,22.5,84.2,11.9,34.6,3,10,"(34.18188937300, -118.246766660)"
NC,Asheville,3702140,83393,13.9,23.9,15.5,30.9,77.7,6.9,8.3,6.4,73.9,79.1,67.8,6.2,43.6,35.5,16.5,63.9,9.4,34.7,2.9,19.6,79.8,11.7,26.6,86.9,11,30.1,3.2,13.8,"(35.57082513910, -82.5537350816)"
UT,Layton,4943660,67311,12,19.8,10.1,23.1,68.2,5.2,8.7,4.1,61,67.3,70.1,4.3,36.5,32.3,9.5,74.4,7.6,33,2.3,18.1,75.4,11.5,28.8,78.8,10.3,31.4,2.1,11.1,"(41.07718161400, -111.961589302)"
TX,Pearland,4856348,91252,15.1,18.2,19.2,27,73.3,5,8,4,68.8,77.3,65.2,3.9,34.5,33.9,14,68.9,8.2,33.1,2.1,19.6,77.9,9.8,28.4,81.9,8.9,32.3,1.9,8.6,"(29.55848505770, -95.3208389111)"
PA,Erie,4224000,101786,12.1,29.2,17.5,31.4,76.4,6.3,11.2,7.5,70.1,69.4,62.6,8.4,39.6,31.1,23.6,59,11.3,35.1,3.2,28.3,78.3,15.9,38,79.7,14.9,42,4,21,"(42.11646987540, -80.0730358517)"
IL,Joliet,1738570,147433,15.8,21.8,20.3,28.4,71.3,5.2,9.7,5.3,66.5,71.5,58,6.1,31.9,26.2,20.5,58.2,9.5,33.3,2.7,27.9,75.6,12.5,37.6,83.7,12.7,34.8,2.8,18.7,"(41.52063900370, -88.1507097756)"
CA,Tracy,680238,82922,12.3,17.4,19.7,25.8,66,4.7,8.8,4.3,62.1,73.3,66.8,4.8,35.7,31.7,14.2,67.2,8.6,31.2,2.4,20.6,81.2,12.3,28,84.8,11.1,35.6,2.2,11.9,"(37.72432773750, -121.444621463)"
GA,Johns Creek,1342425,76728,10.2,16.8,16.8,26.8,73.3,5.5,7,3.8,73.8,84.5,66.5,3.9,38.6,42.3,11.5,76.8,7.2,32.5,2,18.2,81.7,8.6,18.9,82.6,7.9,33.3,1.8,7,"(34.03329919980, -84.2027195506)"
NC,Jacksonville,3734200,70145,18.7,14,23.7,22,61.9,3.2,8,3.3,68.8,60.2,64,4.2,39,32.3,19.5,67.1,5.8,26.5,1.8,19.4,78.8,13.8,24.8,82.7,8.7,37,1.8,18.3,"(34.73311030370, -77.3951822819)"
IA,Des Moines,1921000,203433,10.4,24.8,19.8,28.1,74.9,5.9,8.6,6,68.5,69.2,65.3,6.1,40.5,33,22.1,65.7,9.7,36,2.7,24.9,78.9,12.6,32.8,85.4,11.7,32.7,3.1,15.7,"(41.57413495250, -93.6165066086)"
MI,Southfield,2674900,71739,10.2,31.1,14.8,41.7,80,7.3,11.3,6.9,78.5,80.9,68.7,7,29.8,26.1,17.7,72,13.3,39.6,3.5,24.4,82,11.8,33.1,88.4,13.2,39.4,4.1,11.9,"(42.47650162670, -83.2605284738)"
PA,Allentown,4202000,118032,18.7,28.7,17.1,33.9,74.8,5.7,10.7,7.3,68.6,68.1,55.6,7.8,33.9,28.3,21.6,54.3,12.8,36,3.4,31.6,77.5,15.6,36.7,80.6,15.7,39,3.8,24.1,"(40.59609961800, -75.4755373968)"
NY,Mount Vernon,3649121,67292,12.9,26.5,15.6,35.6,77.1,5.8,12.4,6.1,76.3,78.3,66,6.8,30.6,28.5,17.6,60.4,12.9,36.9,3.3,30.3,81.1,12.6,30.5,84.6,13.5,41.1,3.9,18.2,"(40.91360085690, -73.8291001676)"
FL,Lakeland,1238250,97422,22,30.2,13.6,36.3,81,7.9,8.6,8.8,77.4,77,67.5,9.2,35.1,31.9,18.5,56.1,13.2,40.3,3.7,32,82.4,13.4,35.6,83.2,15.6,35,4.6,18.7,"(28.05584826640, -81.9539536462)"
CA,Elk Grove,622020,153015,9,17.2,17.8,27.7,67,5.1,9,4.3,65.3,75.4,71.8,4.5,31.8,29.4,13,69,8.6,30.5,2.4,18.2,79.7,11,24.4,81.4,10.1,37,2.2,8.7,"(38.41599920060, -121.384137762)"
AZ,Peoria,454050,154065,11.1,25.5,17.2,28.8,74.3,7,9.7,6,67.8,78.7,66.2,5.9,37.9,33.5,15.5,69.7,8.9,36.5,2.9,20.6,79.2,11.5,26.2,NA,11.7,34.5,2.9,10.7,"(33.78472064220, -112.298680584)"
VA,Roanoke,5168000,97032,16.1,28.9,14.7,36,79.9,6.7,9.9,7.2,75.3,77,67.1,8.1,39.3,34.2,21.6,60.5,12.2,36.8,3.3,27.3,82.7,13.9,33.7,85.3,14.1,39.4,4,18.1,"(37.27821818550, -79.9581615989)"
FL,Miami Gardens,1245060,107167,29.2,20.7,14.1,37.6,79.7,5,9.4,6.4,80.4,73.2,52.4,7.5,20.1,20.2,20.4,52.5,14.4,35.8,3.7,40.7,85.5,14.4,33.6,82.7,14.7,41.2,4.6,21.6,"(25.94326338710, -80.2425332162)"
GA,Athens,1303440,115452,20.4,17.8,16,28.4,68.9,4.1,9.6,4.5,71.4,64.4,59.7,6.3,32.9,29.9,20.3,59.2,8.7,31,2.6,28.2,81.9,15.3,27.5,80.9,11.4,37.3,2.7,18.7,"(33.95081706830, -83.3689417445)"
